"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"I went and [[saw]] this movie last night after being coaxed to by a few friends of mine. I'll admit that I was reluctant to see it because from what I knew of Ashton Kutcher he was only able to do [[comedy]]. I was wrong. Kutcher played the character of Jake Fischer very well, and Kevin Costner played Ben Randall with such professionalism. The sign of a [[good]] movie is that it can toy with our [[emotions]]. [[This]] one [[did]] exactly that. The entire [[theater]] (which was sold out) was overcome by laughter during the first half of the movie, and were moved to tears during the second half. While exiting the theater I not only saw many women in tears, but many full grown men as well, trying desperately not to let anyone see them crying. This movie was great, and I suggest that you go see it before you judge.","I went and [[endured]] this movie last night after being coaxed to by a few friends of mine. I'll admit that I was reluctant to see it because from what I knew of Ashton Kutcher he was only able to do [[travesty]]. I was wrong. Kutcher played the character of Jake Fischer very well, and Kevin Costner played Ben Randall with such professionalism. The sign of a [[better]] movie is that it can toy with our [[sentiments]]. [[These]] one [[suis]] exactly that. The entire [[screenplays]] (which was sold out) was overcome by laughter during the first half of the movie, and were moved to tears during the second half. While exiting the theater I not only saw many women in tears, but many full grown men as well, trying desperately not to let anyone see them crying. This movie was great, and I suggest that you go see it before you judge.",0.00018852949142456055,0.8047679662704468,1,0,1,311,"Successful"
"Actor turned director Bill Paxton follows up his promising debut, the Gothic-horror ""Frailty"", with this family friendly sports drama about the 1913 U.S. Open where a young American caddy rises from his humble background to play against his Bristish idol in what was dubbed as ""The Greatest Game Ever Played."" I'm no fan of golf, and these scrappy [[underdog]] sports flicks are a dime a dozen (most recently done to grand effect with ""Miracle"" and ""Cinderella Man""), but some how this film was enthralling all the same.<br /><br />The film starts with some creative opening credits (imagine a Disneyfied version of the animated opening credits of HBO's ""Carnivale"" and ""Rome""), but lumbers along slowly for its first by-the-numbers hour. Once the action [[moves]] to the U.S. Open things pick up very well. Paxton does a nice job and shows a knack for effective directorial flourishes (I loved the rain-soaked montage of the action on day two of the open) that propel the plot further or add some unexpected psychological depth to the proceedings. There's some compelling character development when the British Harry Vardon is haunted by images of the [[aristocrats]] in black suits and top hats who destroyed his family cottage as a child to make way for a golf course. He also does a good job of visually depicting what goes on in the players' heads under pressure. Golf, a painfully boring sport, is brought [[vividly]] alive here. Credit should also be [[given]] the set designers and costume department for creating an engaging period-piece [[atmosphere]] of London and Boston at the beginning of the twentieth century.<br /><br />You know how this is going to end not only because it's based on a [[true]] story but also because films in this genre follow the same template over and over, but Paxton puts on a better than average show and perhaps indicates more talent behind the camera than he ever had in front of it. [[Despite]] the formulaic nature, this is a nice and easy film to root for that [[deserves]] to find an audience.","Actor turned director Bill Paxton follows up his promising debut, the Gothic-horror ""Frailty"", with this family friendly sports drama about the 1913 U.S. Open where a young American caddy rises from his humble background to play against his Bristish idol in what was dubbed as ""The Greatest Game Ever Played."" I'm no fan of golf, and these scrappy [[downtrodden]] sports flicks are a dime a dozen (most recently done to grand effect with ""Miracle"" and ""Cinderella Man""), but some how this film was enthralling all the same.<br /><br />The film starts with some creative opening credits (imagine a Disneyfied version of the animated opening credits of HBO's ""Carnivale"" and ""Rome""), but lumbers along slowly for its first by-the-numbers hour. Once the action [[initiative]] to the U.S. Open things pick up very well. Paxton does a nice job and shows a knack for effective directorial flourishes (I loved the rain-soaked montage of the action on day two of the open) that propel the plot further or add some unexpected psychological depth to the proceedings. There's some compelling character development when the British Harry Vardon is haunted by images of the [[monarchists]] in black suits and top hats who destroyed his family cottage as a child to make way for a golf course. He also does a good job of visually depicting what goes on in the players' heads under pressure. Golf, a painfully boring sport, is brought [[appallingly]] alive here. Credit should also be [[dispensed]] the set designers and costume department for creating an engaging period-piece [[barometric]] of London and Boston at the beginning of the twentieth century.<br /><br />You know how this is going to end not only because it's based on a [[presentable]] story but also because films in this genre follow the same template over and over, but Paxton puts on a better than average show and perhaps indicates more talent behind the camera than he ever had in front of it. [[Unless]] the formulaic nature, this is a nice and easy film to root for that [[justifies]] to find an audience.",0.0003559589385986328,0.5376555323600769,1,0,1,612,"Successful"
"As a recreational golfer with some knowledge of the sport's history, I was pleased with Disney's sensitivity to the issues of class in golf in the early twentieth century. The movie depicted well the psychological battles that Harry Vardon fought within himself, from his childhood trauma of being evicted to his own inability to break that glass ceiling that prevents him from being accepted as an equal in English golf society. Likewise, the young Ouimet goes through his own class struggles, being a mere caddie in the eyes of the upper crust Americans who scoff at his attempts to rise above his standing. <br /><br />What I loved best, however, is how this theme of class is manifested in the characters of Ouimet's parents. His father is a working-class drone who sees the value of hard work but is intimidated by the upper class; his mother, however, recognizes her son's talent and desire and encourages him to pursue his dream of competing against those who think he is inferior.<br /><br />Finally, the golf scenes are well photographed. Although the course used in the movie was not the actual site of the historical tournament, the little liberties taken by Disney do not detract from the [[beauty]] of the film. There's one little Disney moment at the pool table; otherwise, the viewer does not really think Disney. The ending, as in ""Miracle,"" is not some Disney creation, but one that only human history could have written.","As a recreational golfer with some knowledge of the sport's history, I was pleased with Disney's sensitivity to the issues of class in golf in the early twentieth century. The movie depicted well the psychological battles that Harry Vardon fought within himself, from his childhood trauma of being evicted to his own inability to break that glass ceiling that prevents him from being accepted as an equal in English golf society. Likewise, the young Ouimet goes through his own class struggles, being a mere caddie in the eyes of the upper crust Americans who scoff at his attempts to rise above his standing. <br /><br />What I loved best, however, is how this theme of class is manifested in the characters of Ouimet's parents. His father is a working-class drone who sees the value of hard work but is intimidated by the upper class; his mother, however, recognizes her son's talent and desire and encourages him to pursue his dream of competing against those who think he is inferior.<br /><br />Finally, the golf scenes are well photographed. Although the course used in the movie was not the actual site of the historical tournament, the little liberties taken by Disney do not detract from the [[ravishing]] of the film. There's one little Disney moment at the pool table; otherwise, the viewer does not really think Disney. The ending, as in ""Miracle,"" is not some Disney creation, but one that only human history could have written.",0.0001480579376220703,0.7373430728912354,1,0,1,289,"Successful"
"I saw this film in a sneak preview, and it is delightful. The cinematography is [[unusually]] creative, the acting is good, and the [[story]] is fabulous. If this movie does not do [[well]], it won't be because it doesn't deserve to. Before this film, I didn't realize how charming [[Shia]] Lebouf could be. He does a [[marvelous]], self-contained, job as the lead. There's something incredibly sweet about him, and it makes the movie even [[better]]. [[The]] other [[actors]] do a good [[job]] as well, and the film contains moments of really high [[suspense]], more than one might [[expect]] from a movie about [[golf]]. Sports movies are a [[dime]] a [[dozen]], but this one stands out. <br /><br />This is one I'd [[recommend]] to anyone.","I saw this film in a sneak preview, and it is delightful. The cinematography is [[terribly]] creative, the acting is good, and the [[stories]] is fabulous. If this movie does not do [[satisfactorily]], it won't be because it doesn't deserve to. Before this film, I didn't realize how charming [[Sunni]] Lebouf could be. He does a [[sumptuous]], self-contained, job as the lead. There's something incredibly sweet about him, and it makes the movie even [[fatter]]. [[Both]] other [[participant]] do a good [[manpower]] as well, and the film contains moments of really high [[wait]], more than one might [[esperanza]] from a movie about [[beach]]. Sports movies are a [[exhibits]] a [[tio]], but this one stands out. <br /><br />This is one I'd [[advise]] to anyone.",0.00024276971817016602,0.5994466543197632,1,0,1,451,"Successful"
"[[Bill]] Paxton has taken the true story of the 1913 US golf open and made a film that is about much more than an extra-ordinary game of golf. The [[film]] also deals directly with the class [[tensions]] of the early twentieth century and touches upon the profound anti-Catholic prejudices of both the British and American establishments. But at heart the film is about that perennial [[favourite]] of triumph against the odds.<br /><br />The acting is exemplary throughout. Stephen Dillane is excellent as usual, but the revelation of the movie is [[Shia]] LaBoeuf who delivers a disciplined, dignified and highly [[sympathetic]] [[performance]] as a working class Franco-Irish kid fighting his way through the prejudices of the New England WASP establishment. For those who are only familiar with his slap-stick performances in ""Even Stevens"" this demonstration of his maturity is a delightful surprise. And Josh Flitter as the [[ten]] [[year]] [[old]] caddy [[threatens]] to steal [[every]] scene in which he [[appears]].<[[br]] /><br />[[A]] [[old]] [[fashioned]] movie in the [[best]] [[sense]] of the [[word]]: [[fine]] [[acting]], [[clear]] [[directing]] and a [[great]] story that [[grips]] to the [[end]] - the [[final]] [[scene]] an [[affectionate]] nod to Casablanca is just one of the [[many]] [[pleasures]] that [[fill]] a [[great]] movie.","[[Lois]] Paxton has taken the true story of the 1913 US golf open and made a film that is about much more than an extra-ordinary game of golf. The [[video]] also deals directly with the class [[pressures]] of the early twentieth century and touches upon the profound anti-Catholic prejudices of both the British and American establishments. But at heart the film is about that perennial [[contender]] of triumph against the odds.<br /><br />The acting is exemplary throughout. Stephen Dillane is excellent as usual, but the revelation of the movie is [[Sunni]] LaBoeuf who delivers a disciplined, dignified and highly [[agreeable]] [[efficacy]] as a working class Franco-Irish kid fighting his way through the prejudices of the New England WASP establishment. For those who are only familiar with his slap-stick performances in ""Even Stevens"" this demonstration of his maturity is a delightful surprise. And Josh Flitter as the [[tenth]] [[annum]] [[eldest]] caddy [[menaces]] to steal [[all]] scene in which he [[spectacle]].<[[ab]] /><br />[[para]] [[immemorial]] [[shaped]] movie in the [[largest]] [[detection]] of the [[phrase]]: [[fined]] [[behaving]], [[palpable]] [[directed]] and a [[sumptuous]] story that [[fists]] to the [[terminating]] - the [[finale]] [[amphitheatre]] an [[oi]] nod to Casablanca is just one of the [[immeasurable]] [[indulging]] that [[populated]] a [[gargantuan]] movie.",0.00014221668243408203,0.9973811507225037,1,0,1,1006,"Successful"
"I saw this film on September 1st, 2005 in Indianapolis. I am one of the judges for the Heartland Film Festival that screens films for their Truly Moving Picture Award. A Truly Moving Picture ""...explores the human journey by artistically expressing hope and respect for the positive values of life."" Heartland gave that award to this film.<br /><br />This is a story of golf in the early part of the 20th century. At that time, it was the game of upper class and rich ""gentlemen"", and working people could only participate by being caddies at country clubs. With this backdrop, this based-on-a-true-story unfolds with a young, working class boy who takes on the golf establishment and the greatest golfer in the world, Harry Vardon.<br /><br />And the story is inspirational. Against all odds, Francis Ouimet (played by Shia LaBeouf of ""Holes"") gets to compete against the greatest golfers of the U.S. and Great Britain at the 1913 U.S. Open. Francis is ill-prepared, and has a child for a caddy. (The caddy is hilarious and motivational and steals every scene he appears in.) But despite these handicaps, Francis displays courage, spirit, heroism, and humility at this world class event.<br /><br />And, we learn a lot about the early years of golf; for example, the use of small wooden clubs, the layout of the short holes, the manual scoreboard, the golfers swinging with pipes in their mouths, the terrible conditions of the greens and fairways, and the play not being canceled even in torrential rain.<br /><br />This film has [[stunning]] cinematography and art direction and editing. And with no big movie stars, the story is somehow more believable.<br /><br />This adds to the inventory of [[great]] sports movies in the vein of ""Miracle"" and ""Remember the Titans.""<br /><br />FYI - There is a Truly Moving Pictures web site where there is a listing of past winners going back 70 years.","I saw this film on September 1st, 2005 in Indianapolis. I am one of the judges for the Heartland Film Festival that screens films for their Truly Moving Picture Award. A Truly Moving Picture ""...explores the human journey by artistically expressing hope and respect for the positive values of life."" Heartland gave that award to this film.<br /><br />This is a story of golf in the early part of the 20th century. At that time, it was the game of upper class and rich ""gentlemen"", and working people could only participate by being caddies at country clubs. With this backdrop, this based-on-a-true-story unfolds with a young, working class boy who takes on the golf establishment and the greatest golfer in the world, Harry Vardon.<br /><br />And the story is inspirational. Against all odds, Francis Ouimet (played by Shia LaBeouf of ""Holes"") gets to compete against the greatest golfers of the U.S. and Great Britain at the 1913 U.S. Open. Francis is ill-prepared, and has a child for a caddy. (The caddy is hilarious and motivational and steals every scene he appears in.) But despite these handicaps, Francis displays courage, spirit, heroism, and humility at this world class event.<br /><br />And, we learn a lot about the early years of golf; for example, the use of small wooden clubs, the layout of the short holes, the manual scoreboard, the golfers swinging with pipes in their mouths, the terrible conditions of the greens and fairways, and the play not being canceled even in torrential rain.<br /><br />This film has [[whopping]] cinematography and art direction and editing. And with no big movie stars, the story is somehow more believable.<br /><br />This adds to the inventory of [[sumptuous]] sports movies in the vein of ""Miracle"" and ""Remember the Titans.""<br /><br />FYI - There is a Truly Moving Pictures web site where there is a listing of past winners going back 70 years.",0.0001550912857055664,0.9892102479934692,1,0,1,400,"Successful"
"Maybe I'm reading into this too much, but I wonder how much of a hand Hongsheng had in developing the film. I mean, when a story is told casting the main character as himself, I would think he would be a heavy hand in writing, documenting, etc. and that would make it a little biased.<br /><br />But...his family and friends also may have had a hand in getting the actual details about Hongsheng's life. I think the best view would have been told from Hongsheng's family and friends' perspectives. They saw his transformation and weren't so messed up on drugs that they remember everything.<br /><br />As for Hongsheng being full of himself, the consistencies of the Jesus Christ pose make him appear as a martyr who sacrificed his life (metaphorically, of course, he's obviously still alive as he was cast as himself) for his family's happiness. Huh?<br /><br />The viewer sees him at his lowest points while still maintaining a superiority complex. He lies on the grass coming down from (during?) a high by himself and with his father, he [[contemplates]] life and has visions of dragons at his window, he celebrates his freedom on a bicycle all while outstretching his arms, his head cocked to the side.<br /><br />It's fabulous that he's off of drugs now, but he's no hero. He went from a high point in his career in acting to his most vulnerable point while on drugs to come back somewhere in the middle.<br /><br />This same device is used in Ted Demme's ""Blow"" where the audience empathizes with the main character who is shown as a flawed hero.<br /><br />However, ""Quitting"" (""Zuotian"") is a film that is recommended, mostly for its haunting soundtrack, superb acting, and landscapes. But, the [[best]] part is the feeling that one gets when what we presume to be the house of Jia Hongsheng is actually a stage setting for a play. It makes the viewer feel as if Hongsheng's life was merely a play told in many difficult parts.","Maybe I'm reading into this too much, but I wonder how much of a hand Hongsheng had in developing the film. I mean, when a story is told casting the main character as himself, I would think he would be a heavy hand in writing, documenting, etc. and that would make it a little biased.<br /><br />But...his family and friends also may have had a hand in getting the actual details about Hongsheng's life. I think the best view would have been told from Hongsheng's family and friends' perspectives. They saw his transformation and weren't so messed up on drugs that they remember everything.<br /><br />As for Hongsheng being full of himself, the consistencies of the Jesus Christ pose make him appear as a martyr who sacrificed his life (metaphorically, of course, he's obviously still alive as he was cast as himself) for his family's happiness. Huh?<br /><br />The viewer sees him at his lowest points while still maintaining a superiority complex. He lies on the grass coming down from (during?) a high by himself and with his father, he [[proposes]] life and has visions of dragons at his window, he celebrates his freedom on a bicycle all while outstretching his arms, his head cocked to the side.<br /><br />It's fabulous that he's off of drugs now, but he's no hero. He went from a high point in his career in acting to his most vulnerable point while on drugs to come back somewhere in the middle.<br /><br />This same device is used in Ted Demme's ""Blow"" where the audience empathizes with the main character who is shown as a flawed hero.<br /><br />However, ""Quitting"" (""Zuotian"") is a film that is recommended, mostly for its haunting soundtrack, superb acting, and landscapes. But, the [[better]] part is the feeling that one gets when what we presume to be the house of Jia Hongsheng is actually a stage setting for a play. It makes the viewer feel as if Hongsheng's life was merely a play told in many difficult parts.",0.0027930140495300293,0.5851486921310425,1,0,1,423,"Successful"
"I felt this film did have many good qualities. The cinematography was certainly different exposing the stage aspect of the set and story. The original characters as actors was certainly an achievement and I felt most played quite convincingly, of course they are playing themselves, but definitely [[unique]]. The cultural aspects may leave many disappointed as a familiarity with the Chinese and Oriental culture will answer a lot of questions regarding parent/child relationships and the stigma that goes with any drug use. I found the Jia Hongsheng story interesting. On a down note, the story is in Beijing and some of the fashion and music reek of early 90s even though this was made in 2001, so it's really cheesy sometimes (the Beatles crap, etc). Whatever, not a top ten or twenty but if it's on the television, check it out.","I felt this film did have many good qualities. The cinematography was certainly different exposing the stage aspect of the set and story. The original characters as actors was certainly an achievement and I felt most played quite convincingly, of course they are playing themselves, but definitely [[idiosyncratic]]. The cultural aspects may leave many disappointed as a familiarity with the Chinese and Oriental culture will answer a lot of questions regarding parent/child relationships and the stigma that goes with any drug use. I found the Jia Hongsheng story interesting. On a down note, the story is in Beijing and some of the fashion and music reek of early 90s even though this was made in 2001, so it's really cheesy sometimes (the Beatles crap, etc). Whatever, not a top ten or twenty but if it's on the television, check it out.",0.0004892349243164062,0.5246487855911255,1,0,1,160,"Successful"
"[[This]] movie is [[amazing]] [[because]] the [[fact]] that the [[real]] [[people]] [[portray]] themselves and their [[real]] life experience and [[do]] such a [[good]] [[job]] it's like they're almost [[living]] the [[past]] over again. [[Jia]] Hongsheng [[plays]] himself an [[actor]] who [[quit]] everything except [[music]] and [[drugs]] [[struggling]] with depression and [[searching]] for the [[meaning]] of [[life]] while being [[angry]] at everyone [[especially]] the [[people]] who [[care]] for him most. There's [[moments]] in the movie that [[will]] [[make]] you [[wanna]] [[cry]] because the [[family]] especially the [[father]] [[did]] such a [[good]] [[job]]. [[However]], this movie is not for everyone. Many [[people]] who [[suffer]] from [[depression]] [[will]] [[understand]] Hongsheng's [[problem]] and why he [[does]] the [[things]] he does for example keep himself [[shut]] in a [[dark]] [[room]] or [[go]] for [[walks]] or [[bike]] [[rides]] by himself. Others [[might]] see the [[movie]] as [[boring]] [[because]] it's just [[so]] [[real]] that its almost [[like]] a documentary. [[Overall]] this movie is [[great]] and Hongsheng deserved an [[Oscar]] for this movie [[so]] [[did]] his [[Dad]].","[[That]] movie is [[awesome]] [[since]] the [[done]] that the [[precise]] [[countries]] [[depict]] themselves and their [[actual]] life experience and [[got]] such a [[super]] [[posting]] it's like they're almost [[residents]] the [[passed]] over again. [[Kin]] Hongsheng [[is]] himself an [[actress]] who [[terminate]] everything except [[cappella]] and [[doctors]] [[combat]] with depression and [[researching]] for the [[impression]] of [[living]] while being [[mad]] at everyone [[basically]] the [[countries]] who [[attention]] for him most. There's [[days]] in the movie that [[wishing]] [[making]] you [[wishes]] [[howling]] because the [[households]] especially the [[grandpa]] [[gets]] such a [[super]] [[posting]]. [[Encore]], this movie is not for everyone. Many [[countries]] who [[suffers]] from [[depressed]] [[readiness]] [[include]] Hongsheng's [[boredom]] and why he [[wishes]] the [[stuff]] he does for example keep himself [[terminates]] in a [[shady]] [[halls]] or [[goes]] for [[hike]] or [[biker]] [[walks]] by himself. Others [[opportunities]] see the [[cinemas]] as [[boredom]] [[since]] it's just [[also]] [[precise]] that its almost [[lover]] a documentary. [[International]] this movie is [[sumptuous]] and Hongsheng deserved an [[Academy]] for this movie [[also]] [[gets]] his [[Grandpa]].",0.00024181604385375977,0.9717797040939331,1,0,1,2388,"Successful"
